Symptom,Age Group,Medicine,Dosage
Headache (mild),Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Headache (mild),1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Headache (mild),3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Headache (mild),6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Headache (mild),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Headache (high),Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Headache (high),1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Headache (high),3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Headache (high),6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Headache (high),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Eye itching,Below 1 year,Saline eye drops / supportive care,Saline drops 1-2 drops as needed; refer to pediatrician for antibiotic drops if infected
Eye itching,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Eye itching,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Eye itching,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Eye itching,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Ear pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Ear pain,1-3 years,Amoxicillin syrup + Paracetamol,Amoxicillin 20-40 mg/kg/day divided + Paracetamol 120 mg every 4-6 hrs
Ear pain,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Ear pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Ear pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Nose blocking,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Nose blocking,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Nose blocking,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Nose blocking,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Nose blocking,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Mouth ulcers,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Mouth ulcers,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Mouth ulcers,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Mouth ulcers,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Mouth ulcers,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Throat pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Throat pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Throat pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Throat pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Throat pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Body pains,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Body pains,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Body pains,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Body pains,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Body pains,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Stomach pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Stomach pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Stomach pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Stomach pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Stomach pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Acidity,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Acidity,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Acidity,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Acidity,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Acidity,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Vomiting,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Vomiting,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Vomiting,3-6 years,ORS + Zinc syrup + Probiotic,ORS volumes per clinician; Zinc 10-20 mg daily; Probiotic once daily
Vomiting,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Vomiting,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Eye redness,Below 1 year,Saline eye drops / supportive care,Saline drops 1-2 drops as needed; refer to pediatrician for antibiotic drops if infected
Eye redness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Eye redness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Eye redness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Eye redness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Back pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Back pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Back pain,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Back pain,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Back pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Toothache,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Toothache,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Toothache,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Toothache,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Toothache,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Neck pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Neck pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Neck pain,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Neck pain,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Neck pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Loose motions,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Loose motions,1-3 years,ORS + Zinc syrup,ORS small frequent volumes; Zinc 10-20 mg daily for 10-14 days if recommended
Loose motions,3-6 years,ORS + Zinc syrup + Probiotic,ORS volumes per clinician; Zinc 10-20 mg daily; Probiotic once daily
Loose motions,6-15 years,ORS + Zinc + Antiemetic if needed,ORS as required; Zinc 20 mg daily; Ondansetron 2-4 mg if severe vomiting (per clinician)
Loose motions,Above 15 years,ORS + Antidiarrheal ± Antibiotic if invasive,ORS as needed; Loperamide only if non-invasive diarrhea in adults; antibiotics if indicated
Body weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Body weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Body weakness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Body weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Body weakness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Cold,Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cold,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Cold,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cold,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cold,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Cough (dry),Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cough (dry),1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Cough (dry),3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cough (dry),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cough (dry),Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Cough (wet),Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cough (wet),1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Cough (wet),3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cough (wet),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cough (wet),Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Asthma,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Asthma,1-3 years,Salbutamol nebulizer/inhaler + Pediatric steroid if needed,Salbutamol 1-2 puffs/nebulizer as per clinician
Asthma,3-6 years,Salbutamol inhaler + Montelukast if indicated,Salbutamol 2 puffs as needed; Montelukast 4-5 mg nightly if prescribed
Asthma,6-15 years,Salbutamol inhaler + Montelukast + Short steroid course if severe,Salbutamol 2 puffs as needed; Montelukast 5-10 mg nightly depending on age
Asthma,Above 15 years,Salbutamol inhaler + Montelukast + Oral steroid short course if severe,Salbutamol 2 puffs PRN; Montelukast 10 mg nightly; Prednisolone 20-40 mg daily short course if prescribed
Allergy,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Allergy,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Allergy,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Allergy,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Allergy,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Skin rash,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Skin rash,1-3 years,Topical treatment ± oral if severe,Topical creams (hydrocortisone 1% for mild eczema) or antifungal creams as advised
Skin rash,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Skin rash,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Skin rash,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Constipation,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Constipation,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Constipation,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Constipation,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Constipation,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Indigestion,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Indigestion,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Indigestion,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Indigestion,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Indigestion,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Migraine,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Migraine,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Migraine,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Migraine,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Migraine,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Joint pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Joint pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Joint pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Joint pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Joint pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Arthritis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Arthritis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Arthritis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Arthritis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Arthritis,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Gastritis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Gastritis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Gastritis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Gastritis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Gastritis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Diabetes fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Diabetes fatigue,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Diabetes fatigue,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Diabetes fatigue,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Diabetes fatigue,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Hypertension headache,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Hypertension headache,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Hypertension headache,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Hypertension headache,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Hypertension headache,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Chest pain (mild),Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Chest pain (mild),1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Chest pain (mild),3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Chest pain (mild),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Chest pain (mild),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Breathlessness,Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Breathlessness,1-3 years,Salbutamol nebulizer/inhaler + Pediatric steroid if needed,Salbutamol 1-2 puffs/nebulizer as per clinician
Breathlessness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
